Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Viet Nam,VNM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,2.12864112884164,2.01437983970519,1.78096085234042,1.93836458436365,2.30475733676407,2.15637292727254,2.26520866993266,2.30504933664778,1.98209994676029,2.15688636813921,2.17684979502056,2.2855076468007,2.3611556974687,2.44296075294715,2.26796977611754,2.28456986005062,..
Virgin Islands (U.S.),VIR,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,34,34.7,34,35.6,..,34.5,35.3,34.4,..,..,..,..,33.7,..,..,..
West Bank and Gaza,PSE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.19167995452881,5.33527994155884,4.74210977554321,4.89467000961304,..,4.66321992874146,4.98296022415161,4.72153997421265,..,..
West Bank and Gaza,PSE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,10.625,21.493,27.465,23.004,23.215,20.016,19.014,18.282,22.913,20.452,21.416,17.597,19.202,19.894,20.527,23.005,23.939,25.677,26.256,25.34
West Bank and Gaza,PSE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,WLD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,4.0962598323822,3.98310995101929,4.07168006896973,4.04881000518799,4.20493984222412,4.03088998794556,4.09349989891052,4.15651512145996,4.09402012825012,4.35563492774964,4.48398017883301,4.27750992774964,4.22993993759155,4.22964286804199,4.34961986541748,4.25936794281006,4.28457021713257,4.22544002532959,4.2559585571289,4.11181426048279,4.18685626983643
World,WLD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,5.63472770573625,..,..,6.20544853696099,5.52625905760752,..,..,6.42747080570733,..,6.56544386290142,..,..,..,6.30674056118654,5.4672982575677,5.88938134590493,5.42181754004667,5.62443388466027,5.58412214865104,..,..,5.58784592113703,5.94619463108886,5.86720245365988
World,WLD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.37903359137021,2.30588735732463,2.30919225917321,2.25764710223388,2.21472386226259,2.20239828770403,2.23846487457784,2.34118008443201,2.40189815651947,2.40074720607892,2.39214037703973,2.36245073217297,2.32403392780608,2.38189318735123,2.61337639872769,2.51632777291501,2.40561992675189,2.36794613376486,2.30093885650361,2.25081947232314,2.25820444769515,2.21300943725428,2.16417698808281,2.13459168574632,2.18135598406561
"Yemen, Rep.",YEM,Gini index,SI.POV.GINI,..,..,..,35,..,..,..,..,..,..,34.7,..,..,..,..,..,..,..,..,36.7,..,..,..,..,..
"Yemen, Rep.",YEM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,9.64552021026611,9.23766040802002,6.32079648971558,5.94827938079834,5.5541467666626,5.15025568008423,5.14441585540771,5.82878255844116,5.15143013000488,5.91624307632446,4.3922233581543,5.04202699661255,5.46478986740112,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,11.46,..,..,..,..,16.23,16.05,15.7,15.33,14.97,14.63,17.82,..,..,..,13.467,..,..,..,..,..
"Yemen, Rep.",YEM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.35057848305458,5.28134594096812,5.80575259672107,6.08156870413826,5.17272243639362,4.91539236509943,5.4810146916463,6.8956079503431,6.85455205201499,5.301366496456,4.8683170115889,4.30846683494059,4.85072348722524,4.44582949823727,5.65364849717961,4.68555703404199,4.92646170259402,4.57388427656059,4.07952740426758,3.96689108824503,..,..,..,..,..
Zambia,ZMB,Gini index,SI.POV.GINI,..,48.3,..,49.1,..,..,..,42.1,..,54.3,..,54.6,..,..,..,52,..,..,..,..,55.9,..,..,..,..
Zambia,ZMB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.83852994441986,..,..,2.11823010444641,1.77495002746582,1.78819000720978,..,..,..,2.46342992782593,1.73553001880646,..,1.24075996875763,1.0997200012207,..,3.41600441932678,3.35772275924683,3.69500231742859,3.71820712089539,..,4.62433004379272,3.74792003631592,3.72964000701904,4.73974990844727,4.41824007034302
Zambia,ZMB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,15.3,..,12,..,12.93,..,..,..,..,15.9,..,..,7.93,..,13.19,..,7.85,..,..,..,..,8.518,5.031,5.539
Zambia,ZMB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.45168841419497,1.0518095531385,1.00766103765507,..,1.64831846043945,..,..,..,..,1.58089960446516,1.84832294449392,1.7439454502704,2.06370699223085,2.08008787697224,1.73163534710359,1.38259276517524,1.26233242064529,1.39366692728694,1.43442908648819,1.6618695574344,1.78525420340715,1.45453263600442,1.30000405055903,1.43749875079268,1.255654723075
Zimbabwe,ZWE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.2,..,..,..,..,..,44.3,..,50.3
