Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,8.8322778126357,1.41411798058977,11.2297148236429,5.35740325126363,13.8263195479762,3.92498382161577,21.3905283931067,14.3624414692682,0.426354784529352,12.7522870887165,5.60074465808174,2.72454336394887,1.45131466009762,2.26031420130457,2.6470032019574,1.18922812838036,3.91160341942292
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,6.96759757507017,5.28345660398282,6.08796493020769,8.48175836103604,9.16975191915408,8.91679399595736,7.70780060287773,7.12277329020889,6.88210294277301,7.58538233129798,9.50265278288094,9.89845089688421,..,..
Afghanistan,AFG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,59.91,60.3,63.05,64.85,60.55,51.39,53.28,63.83,69.54,62.02,77.6,74.15,84.84,73.83,93.14,89.61,81.18,94.48,93,99.78,95.68,104.54,99.69,94.93,121.7
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,1.30694988186642,1.27849324104935,3.577104200584,4.36867313365341,3.41377294845747,1.93570173037069,0.455360448830553,0.451889148679072,1.2031179943218,0.293025176967476,0.285440891713646,0.239801182991603,0.20966479421559,0.884000458750617,0.516606084407531,0.274796791444519,0.661572216047427,0.124495985791329
Afghanistan,AFG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.45045583056684,..,5.23442813305688,10.2131805125,8.0512789669382
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,47.6105948729712,44.895444716607,45.4255562530936,48.1375348189415,51.0110303565873,63.454073132628,66.4910240323437,68.5250682234387,67.0205610427628,67.0471873068205,70.8723467754672,74.2670902393052,83.2020801053931,77.4517514962857,75.0949144008056,76.5433902447878,81.218568933066,76.5102006210933,75.8737138467897,75.4078455964825,71.801006339647,74.809862823171,78.1942495319136,76.8081841283291,76.2791946495763
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.6408294970517,11.620333234637,10.1971272832635,11.4671662578473,16.8417629634305,20.1152855452625,21.3334108322137,20.9456161731319,20.8473864531722,22.2175607600291,23.0129911473171,25.2096077274316,28.2478654166425,25.3024181160681,25.2407486083138,27.9794352415409,29.2415371390963,28.9374877608303,28.9163151372576,28.2130014584625,27.2673911512668,28.9778991754721,31.5697983098872,31.5719544148007,31.3042698874727
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.322333321684,9.09999943646361,-10.9199840781391,8.82942375839806,12.8908036407763,6.94621659244254,8.29331263121023,4.53652416035675,5.52863746491788,5.51466791097914,5.52642424695465,5.90265903591924,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104,1.4172427999078,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.6007883019966,8.86171869158599,9.90483695717787,14.5689441026067,..,..,..,16.4842422693753,17.1961377405428,17.9650758619194,..,..,..,..,..,..,18.0220132797796,17.4832335567459,16.5032706123389,18.3019361358269,18.5157898553099,17.590229809729,18.8874860606848,18.5459674731621,18.1443771903866
